Year,Film,Nominated AA,Nominated WGA BAS,Nominated WGA BOS,Nominated Baftas BD,Nominated CC BD,Nominated GG BActress Supp,Nominated GG BActor Supp,Nominated GG BActress Comedy/Musical,Nominated GG BActress Drama,Nominated GG BActor Comedy/Musical,Nominated GG BActor Drama,Nominated SAG BActor Supp,Nominated SAG BActress Supp,Nominated SAG BA,Nominated SAG BActress,Nominated GG SP,Nominated GG BD,Nominated GG BP Comedy/Musical,Nominated GG BP Drama,Nominated Baftas BP,Nominated CC BP,Nominated DGA,Nominated SAG Best Ensemble,Nominated PGA BP,IMDb Rating,Runtime (mins),Genres,Num. Votes(IMDb),Release Date (month/day/year)
2007(80th Annual Awards),Music and Lyrics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,96,"comedy, music, romance",79435,09/02/2007
2007(80th Annual Awards),Music Within,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,94,"biography, comedy, drama, music, romance, war",4920,05/01/2007
2007(80th Annual Awards),The Namesake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,122,drama,16183,02/09/2006
2007(80th Annual Awards),Nancy Drew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,99,"comedy, crime, family, mystery, romance, thriller",15525,15/06/2007
2007(80th Annual Awards),The Nanny Diaries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,106,"comedy, drama, romance",47089,24/08/2007
2007(80th Annual Awards),National Treasure: Book of Secrets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,124,"action, adventure, comedy, mystery",178724,13/12/2007
2007(80th Annual Awards),Next,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,96,"action, sci_fi, thriller",122332,25/04/2007
2007(80th Annual Awards),Nina’s Heavenly Delights,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,94,comedy,1610,28/09/2006
2007(80th Annual Awards),No Country for Old Men,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,8.1,122,"crime, drama, thriller",590804,19/05/2007
2007(80th Annual Awards),No Reservations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,104,"comedy, drama, romance",57914,25/07/2007
2007(80th Annual Awards),Norbit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,102,"comedy, drama, romance",51460,09/02/2007
2007(80th Annual Awards),The Number 23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,101,"mystery, thriller",161472,13/02/2007
2007(80th Annual Awards),Ocean’s Thirteen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,122,"crime, thriller",249770,24/05/2007
2007(80th Annual Awards),Once,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,85,"drama, music, romance",88136,20/01/2007
2007(80th Annual Awards),One to Another,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,95,drama,919,09/09/2006
2007(80th Annual Awards),The Orphanage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,105,"drama, mystery, thriller",117653,20/05/2007
2007(80th Annual Awards),Pathfinder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,99,"action, adventure, drama, thriller",36599,11/01/2007
2007(80th Annual Awards),Persepolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,96,"animation, biography, drama, war",68253,23/05/2007
2007(80th Annual Awards),Pirates of the Caribbean: At World’s End,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,169,"action, adventure, fantasy",457192,19/05/2007
2007(80th Annual Awards),Premonition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,96,"drama, mystery, thriller",61314,12/03/2007
2007(80th Annual Awards),Pride,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,104,"drama, family, sport",5454,14/03/2007
2007(80th Annual Awards),Primeval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,93,"action, adventure, crime, horror",10878,12/01/2007
2007(80th Annual Awards),P.S. I Love You,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,126,"drama, romance",163380,20/12/2007
2007(80th Annual Awards),Puccini for Beginners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,82,"comedy, romance",2029,02/09/2006
2007(80th Annual Awards),Rails & Ties,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,101,drama,3418,01/09/2007
2007(80th Annual Awards),Ratatouille,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,111,"animation, comedy, family, fantasy",455719,22/06/2007
2007(80th Annual Awards),The Reaping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,99,"horror, thriller",36875,29/03/2007
2007(80th Annual Awards),Redacted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,90,"crime, thriller, war",8692,31/08/2007
2007(80th Annual Awards),Reign over Me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,124,drama,82823,22/03/2007
2007(80th Annual Awards),Rendition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,122,"drama, thriller",46478,07/09/2007
2007(80th Annual Awards),Reno 911: Miami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,84,"comedy, crime",23619,23/02/2007
2007(80th Annual Awards),Rescue Dawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,120,"adventure, biography, drama, war",82981,09/09/2006
2007(80th Annual Awards),Reservation Road,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,102,"crime, drama, thriller",18400,13/09/2007
2007(80th Annual Awards),Resident Evil: Extinction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,94,"action, horror, sci_fi, thriller",145956,20/09/2007
2007(80th Annual Awards),Resurrecting the Champ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,112,"drama, sport",18169,20/01/2007
2007(80th Annual Awards),Right at Your Door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,96,"drama, thriller",10717,23/01/2006
2007(80th Annual Awards),Rocket Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,101,"comedy, drama",11455,19/01/2007
2007(80th Annual Awards),Romance & Cigarettes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,105,"comedy, musical, romance",9900,06/09/2005
2007(80th Annual Awards),Rush Hour 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,91,"action, comedy, crime, thriller",117453,30/07/2007
2007(80th Annual Awards),Saawariya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,142,"drama, musical, romance",5836,07/11/2007
2007(80th Annual Awards),The Savages,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,114,"comedy, drama",31864,19/01/2007
2007(80th Annual Awards),Saw IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,93,"horror, mystery",107973,25/10/2007
2007(80th Annual Awards),Sea of Dreams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,99,"drama, fantasy, mystery, romance",315,09/03/2006
2007(80th Annual Awards),The Seeker: The Dark Is Rising,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,99,"adventure, drama, family, fantasy, thriller",12922,04/10/2007
2007(80th Annual Awards),September Dawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,111,"drama, history, western",2587,24/08/2007
2007(80th Annual Awards),Shoot ’em Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,86,"action, comedy, crime, thriller",128054,26/07/2007
2007(80th Annual Awards),Shooter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,124,"action, crime, drama, mystery, thriller",249426,08/03/2007
2007(80th Annual Awards),Shrek the Third,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,93,"animation, adventure, comedy, family, fantasy",204776,06/05/2007
2007(80th Annual Awards),Silk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,107,"drama, romance",9338,11/09/2007
2007(80th Annual Awards),The Simpsons Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,87,"animation, adventure, comedy",252675,21/07/2007
2007(80th Annual Awards),Sleuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,88,"drama, mystery, thriller",25382,30/08/2007
2007(80th Annual Awards),Smokin’ Aces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,109,"action, crime, drama, thriller",119134,09/12/2006
2007(80th Annual Awards),Southland Tales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,145,"comedy, mystery, sci_fi, thriller",32273,21/05/2006
2007(80th Annual Awards),Spider-Man 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,139,"action, adventure",368248,16/04/2007
2007(80th Annual Awards),Stardust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,127,"adventure, family, fantasy, romance",207543,29/07/2007
2007(80th Annual Awards),Starter for 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,92,"comedy, drama, romance, sport",16511,13/09/2006
2007(80th Annual Awards),Starting Out in the Evening,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,111,"drama, romance",2813,NA
2007(80th Annual Awards),Stephanie Daley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,92,drama,1502,21/01/2006
2007(80th Annual Awards),Stomp the Yard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,109,"drama, music, romance",19267,08/01/2007
2007(80th Annual Awards),Sunshine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,107,"adventure, sci_fi, thriller",185061,23/03/2007
2007(80th Annual Awards),Superbad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,113,comedy,412715,17/08/2007
2007(80th Annual Awards),Surf’s Up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,85,"animation, comedy, family, sport",52464,02/06/2007
2007(80th Annual Awards),Sweeney Todd the Demon Barber of Fleet Street,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,7.4,116,"drama, horror, musical, thriller",275165,03/12/2007
2007(80th Annual Awards),Sydney White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,108,"comedy, romance",36718,21/09/2007
2007(80th Annual Awards),Talk to Me,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,118,"biography, drama, history, music, war",8383,12/03/2007
2007(80th Annual Awards),Tekkonkinkreet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,111,"animation, action, adventure, crime",8860,21/10/2006
2007(80th Annual Awards),There Will Be Blood,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,8.1,158,drama,360093,27/09/2007
2007(80th Annual Awards),Things We Lost in the Fire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,118,drama,23459,26/09/2007
2007(80th Annual Awards),30 Days of Night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,113,horror,135124,16/10/2007
2007(80th Annual Awards),This Christmas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,117,"comedy, drama, romance",6439,25/10/2007
2007(80th Annual Awards),3:10 to Yuma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.8,122,"adventure, crime, drama, western",232766,21/08/2007
2007(80th Annual Awards),300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,117,"action, fantasy, war",592176,09/12/2006
2007(80th Annual Awards),TMNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,87,"animation, action, adventure, comedy, family, fantasy, sci_fi",52774,22/03/2007
2007(80th Annual Awards),Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,120,"crime, drama, thriller",14594,23/01/2007
2007(80th Annual Awards),28 Weeks Later,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,"horror, sci_fi",206664,26/04/2007
2007(80th Annual Awards),2 Days in Paris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,96,"comedy, drama, romance",26457,10/02/2007
2007(80th Annual Awards),Underdog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,84,"action, adventure, comedy, family, fantasy, sci_fi",15213,03/08/2007
2007(80th Annual Awards),Vacancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,85,"horror, thriller",77164,20/04/2007
2007(80th Annual Awards),The Valet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,85,"comedy, drama",7991,29/03/2006
2007(80th Annual Awards),Vanaja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,111,drama,367,11/09/2006
2007(80th Annual Awards),Waitress,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,108,"comedy, drama, romance",36934,21/01/2007
2007(80th Annual Awards),The Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,108,"crime, drama, mystery",4515,13/02/2007
2007(80th Annual Awards),War,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,103,"action, crime, thriller",71245,24/08/2007
2007(80th Annual Awards),The Water Horse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,112,"adventure, family, fantasy",31164,25/11/2007
2007(80th Annual Awards),We Own the Night,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,117,"crime, drama, thriller",71802,25/05/2007
