Year,Film,CC.BP,DGA,PGA.BP,B.BD,B.BP,CC.BD,GG.SP,GG.BP.D
2017 (89th Academy Awards),DON'T THINK TWICE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),DREAMLAND,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE DRESSMAKER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE EAGLE HUNTRESS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),EAT THAT QUESTION - FRANK ZAPPA IN HIS OWN WORDS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ECHO PARK,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),EDDIE THE EAGLE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE EDGE OF SEVENTEEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),EISENSTEIN IN GUANAJUATO,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ELLE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ELVIS & NIXON,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),EQUITY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),EVERYBODY WANTS SOME!!,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),EVERYTHING IS COPY - NORA EPHRON: SCRIPTED & UNSCRIPTED,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),EYE IN THE SKY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FANTASTIC BEASTS AND WHERE TO FIND THEM,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FENCES,1,0,1,0,0,1,0,0
2017 (89th Academy Awards),THE 5TH WAVE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FINDING DORY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE FINEST HOURS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FIRE AT SEA,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE FIRST MONDAY IN MAY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE FITS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FIVE NIGHTS IN MAINE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FLORENCE FOSTER JENKINS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FLOYD NORMAN: AN ANIMATED LIFE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE FOREST,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE FOUNDER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FREE STATE OF JONES,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FROM AFAR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),FRONT COVER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE FUNDAMENTALS OF CARING,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),GENIUS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),GHOSTBUSTERS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),GIMME DANGER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),GIRL ASLEEP,0,0,0,0,0,0,0,0
